Capella	1868.75	876.9375
Mirfak	2415	487.3335
Beta Aur	1640.375	950.5625
7 Cam	1900	608.3125
Beta Cam	1809.3335	403.75
Alpha Cam	1781.375	192.5625
15 Per	2441.1665	184.1665
Algol	2708.3335	680
45 Per	2398.75	891.25
9 UMa	654.375	672.5
23 UMa	774.5	112
10 UMa	545.5	865.25
33 UMa	7.1665	513
24 Lyn	1155.5835	480.5
